time,model,comment,mean_squared_error,mean_absolute_percentage_error,r2_score
43:02.8,"LSTMBaseline(
  (lstm): LSTM(2, 64, batch_first=True)
  (dense): Linear(in_features=64, out_features=1, bias=True)
)",lstm_woattn_ohlcv_MRF.NS,2342675412,0.678905767,-28.82126337
23:07.6,"LSTMBaseline(
  (lstm): LSTM(2, 64, batch_first=True)
  (dense): Linear(in_features=64, out_features=1, bias=True)
)",lstm_woattn_ohlcv_MRF.NS,181286235.5,0.100215569,-1.307696811
23:07.6,"LSTMBaseline(
  (lstm): LSTM(2, 64, batch_first=True)
  (dense): Linear(in_features=64, out_features=1, bias=True)
)",lstm_woattn_ohlcv_MRF.NS,181286235.5,0.100215569,-1.307696811
18:37.5,"LSTMBaseline(
  (lstm): LSTM(2, 64, batch_first=True)
  (dense): Linear(in_features=64, out_features=1, bias=True)
)",lstm_woattn_ohlcv_M&M.NS,5662.695901,0.086783734,0.69915021
23:07.6,"LSTMBaseline(
  (lstm): LSTM(2, 64, batch_first=True)
  (dense): Linear(in_features=64, out_features=1, bias=True)
)",lstm_woattn_ohlcv_MRF.NS,181286235.5,0.100215569,-1.307696811
18:37.5,"LSTMBaseline(
  (lstm): LSTM(2, 64, batch_first=True)
  (dense): Linear(in_features=64, out_features=1, bias=True)
)",lstm_woattn_ohlcv_M&M.NS,5662.695901,0.086783734,0.69915021
07:03.5,"LSTMBaseline(
  (lstm): LSTM(2, 64, batch_first=True)
  (dense): Linear(in_features=64, out_features=1, bias=True)
)",lstm_woattn_ohlcv_MARUTI.NS,539965.5336,0.078376303,0.499842924
23:07.6,"LSTMBaseline(
  (lstm): LSTM(2, 64, batch_first=True)
  (dense): Linear(in_features=64, out_features=1, bias=True)
)",lstm_woattn_ohlcv_MRF.NS,181286235.5,0.100215569,-1.307696811
18:37.5,"LSTMBaseline(
  (lstm): LSTM(2, 64, batch_first=True)
  (dense): Linear(in_features=64, out_features=1, bias=True)
)",lstm_woattn_ohlcv_M&M.NS,5662.695901,0.086783734,0.69915021
07:03.5,"LSTMBaseline(
  (lstm): LSTM(2, 64, batch_first=True)
  (dense): Linear(in_features=64, out_features=1, bias=True)
)",lstm_woattn_ohlcv_MARUTI.NS,539965.5336,0.078376303,0.499842924
56:19.8,"LSTMBaseline(
  (lstm): LSTM(2, 64, batch_first=True)
  (dense): Linear(in_features=64, out_features=1, bias=True)
)",lstm_woattn_ohlcv_TVSMOTOR.NS,3945.128373,0.096371103,0.645456016
23:07.6,"LSTMBaseline(
  (lstm): LSTM(2, 64, batch_first=True)
  (dense): Linear(in_features=64, out_features=1, bias=True)
)",lstm_woattn_ohlcv_MRF.NS,181286235.5,0.100215569,-1.307696811
18:37.5,"LSTMBaseline(
  (lstm): LSTM(2, 64, batch_first=True)
  (dense): Linear(in_features=64, out_features=1, bias=True)
)",lstm_woattn_ohlcv_M&M.NS,5662.695901,0.086783734,0.69915021
07:03.5,"LSTMBaseline(
  (lstm): LSTM(2, 64, batch_first=True)
  (dense): Linear(in_features=64, out_features=1, bias=True)
)",lstm_woattn_ohlcv_MARUTI.NS,539965.5336,0.078376303,0.499842924
56:19.8,"LSTMBaseline(
  (lstm): LSTM(2, 64, batch_first=True)
  (dense): Linear(in_features=64, out_features=1, bias=True)
)",lstm_woattn_ohlcv_TVSMOTOR.NS,3945.128373,0.096371103,0.645456016
